City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Anchorage,AK,4.3,25.1,16.9,7.7,13.2,26.7,102
Huntsville,AL,3.2,32.6,26.6,13.5,12.8,28.2,600
Montgomery,AL,3.9,31.4,21.9,12.6,12.7,31.1,240
Daphne,AL,4.7,30.1,25.3,13.5,15.1,26.5,157
Fairhope,AL,4.7,30.1,25.3,13.5,15.1,26.5,122
Foley,AL,4.7,30.1,25.3,13.5,15.1,26.5,79
Mobile,AL,4.8,35.3,30.7,17.7,16.2,35.7,10
Birmingham,AL,5.5,36.2,28.4,13.8,20.1,30.3,643
Hoover,AL,5.5,36.2,28.4,13.8,20.1,30.3,577
Fayetteville,AR,3.2,29.2,22.4,11.2,18.2,28.5,1401
Springdale,AR,3.2,29.2,22.4,11.2,18.2,28.5,1322
Rogers,AR,3.2,29.2,22.4,11.2,18.2,28.5,1368
Little Rock,AR,4,33.4,24.1,16.5,20.9,35.7,335
N Little Rock,AR,4,33.4,24.1,16.5,20.9,35.7,266
Conway,AR,4,33.4,24.1,16.5,20.9,35.7,312
Fort Smith,AR,7.1,41.4,28.9,14.5,27,38.1,463
Tucson,AZ,3.4,27,24.1,11.1,20.5,25.6,2389
Phoenix,AZ,3.6,26.4,24.7,11.3,15.9,25.7,1086
Mesa,AZ,3.6,26.4,24.7,11.3,15.9,25.7,1240
Scottsdale,AZ,3.6,26.4,24.7,11.3,15.9,25.7,1257
Prescott,AZ,5.4,31.5,26.8,9.5,20.1,25.6,5367
Lake Havasu City,AZ,7.2,35.1,29.8,14.9,17.4,25.6,735
Kingman,AZ,7.2,35.1,29.8,14.9,17.4,25.6,3333
San Jose,CA,1.9,22.8,22.1,9,13.3,19.9,82
Sunnyvale,CA,1.9,22.8,22.1,9,13.3,19.9,125
Santa Clara,CA,1.9,22.8,22.1,9,13.3,19.9,72
Visalia,CA,2,27.9,17.6,12.1,15.2,33.2,331
Porterville,CA,2,27.9,17.6,12.1,15.2,33.2,459
San Luis Obispo,CA,2.1,26.5,21.2,10.7,18.5,23.9,233
Paso Robles,CA,2.1,26.5,21.2,10.7,18.5,23.9,732
Arroyo Grande,CA,2.1,26.5,21.2,10.7,18.5,23.9,118
San Diego,CA,2.2,25.3,22.2,9.8,16.8,22.3,62
Carlsbad,CA,2.2,25.3,22.2,9.8,16.8,22.3,52
Oxnard,CA,2.3,23.7,23.4,9.3,16.8,23.9,52
Thousand Oaks,CA,2.3,23.7,23.4,9.3,16.8,23.9,886
Ventura,CA,2.3,23.7,23.4,9.3,16.8,23.9,36
Sacramento,CA,2.4,26.2,21.9,11.2,18.4,25.6,30
Roseville,CA,2.4,26.2,21.9,11.2,18.4,25.6,164
Arden,CA,2.4,26.2,21.9,11.2,18.4,25.6,56
